strategy,x,y,mean_visits
random,19,1,0.0
random,19,2,0.0
random,19,3,0.0
random,19,4,0.0
random,19,5,0.0
random,19,6,0.0
random,19,7,0.0
random,19,8,0.0
random,19,9,0.0
random,19,10,0.0
random,19,11,0.0
random,19,12,0.0
random,19,13,0.0
random,19,14,0.0
random,19,15,0.0
random,19,16,0.0
random,19,17,0.0
random,19,18,0.0
random,19,19,0.0
astar,0,0,4.6
astar,0,1,6.333333333333333
astar,0,2,4.566666666666666
astar,0,3,3.466666666666667
astar,0,4,2.9
astar,0,5,1.9333333333333333
astar,0,6,1.9666666666666666
astar,0,7,2.2
astar,0,8,2.2
astar,0,9,1.9333333333333333
astar,0,10,1.6
astar,0,11,0.7666666666666667
astar,0,12,1.1666666666666667
astar,0,13,1.6333333333333333
astar,0,14,1.5666666666666667
astar,0,15,1.4666666666666666
astar,0,16,0.03333333333333333
astar,0,17,0.13333333333333333
astar,0,18,0.2
astar,0,19,0.23333333333333334
astar,1,0,9.9
astar,1,1,7.4
astar,1,2,6.1
astar,1,3,3.6
astar,1,4,2.933333333333333
astar,1,5,3.1333333333333333
astar,1,6,2.7333333333333334
astar,1,7,2.533333333333333
astar,1,8,2.1666666666666665
astar,1,9,1.2333333333333334
astar,1,10,1.0333333333333334
astar,1,11,0.9333333333333333
astar,1,12,1.5
astar,1,13,0.9666666666666667
astar,1,14,0.3
astar,1,15,0.8666666666666667
astar,1,16,0.3333333333333333
astar,1,17,0.23333333333333334
astar,1,18,0.03333333333333333
astar,1,19,0.16666666666666666
astar,2,0,7.366666666666666
astar,2,1,5.633333333333334
astar,2,2,3.7333333333333334
astar,2,3,2.7333333333333334
astar,2,4,1.6666666666666667
astar,2,5,2.6
astar,2,6,2.433333333333333
astar,2,7,1.7333333333333334
astar,2,8,1.1333333333333333
astar,2,9,1.2
astar,2,10,1.3
astar,2,11,0.8333333333333334
astar,2,12,0.8333333333333334
astar,2,13,0.26666666666666666
astar,2,14,0.16666666666666666
astar,2,15,0.03333333333333333
astar,2,16,0.43333333333333335
astar,2,17,0.16666666666666666
astar,2,18,0.16666666666666666
astar,2,19,0.13333333333333333
astar,3,0,6.0
astar,3,1,4.5
astar,3,2,2.8666666666666667
astar,3,3,2.7
astar,3,4,2.033333333333333
astar,3,5,2.8666666666666667
astar,3,6,1.9666666666666666
astar,3,7,1.3666666666666667
astar,3,8,1.2333333333333334
astar,3,9,1.1
astar,3,10,2.1
astar,3,11,1.2
astar,3,12,1.0
astar,3,13,0.06666666666666667
astar,3,14,0.03333333333333333
astar,3,15,0.03333333333333333
astar,3,16,0.6333333333333333
astar,3,17,0.3333333333333333
astar,3,18,0.26666666666666666
astar,3,19,0.13333333333333333
astar,4,0,6.4
astar,4,1,6.433333333333334
astar,4,2,2.8
astar,4,3,2.033333333333333
astar,4,4,1.9666666666666666
astar,4,5,2.1666666666666665
astar,4,6,1.2333333333333334
astar,4,7,0.9666666666666667
astar,4,8,0.8666666666666667
astar,4,9,1.1666666666666667
astar,4,10,1.4
astar,4,11,0.16666666666666666
astar,4,12,0.5666666666666667
astar,4,13,0.06666666666666667
astar,4,14,0.03333333333333333
astar,4,15,0.03333333333333333
astar,4,16,0.4
astar,4,17,0.36666666666666664
astar,4,18,0.23333333333333334
astar,4,19,0.03333333333333333
astar,5,0,3.8333333333333335
astar,5,1,6.033333333333333
astar,5,2,2.8333333333333335
astar,5,3,2.4
astar,5,4,2.1666666666666665
astar,5,5,1.8333333333333333
astar,5,6,1.4333333333333333
astar,5,7,0.8
astar,5,8,0.4666666666666667
astar,5,9,0.4
astar,5,10,0.26666666666666666
astar,5,11,0.06666666666666667
astar,5,12,0.03333333333333333
astar,5,13,0.03333333333333333
astar,5,14,0.03333333333333333
astar,5,15,0.0
astar,5,16,0.0
astar,5,17,0.0
astar,5,18,0.16666666666666666
astar,5,19,0.06666666666666667
astar,6,0,3.8333333333333335
astar,6,1,6.5
astar,6,2,4.133333333333334
astar,6,3,3.2666666666666666
astar,6,4,2.3333333333333335
astar,6,5,1.9666666666666666
astar,6,6,1.4666666666666666
astar,6,7,2.8666666666666667
astar,6,8,1.8666666666666667
astar,6,9,0.43333333333333335
astar,6,10,0.16666666666666666
astar,6,11,0.2
astar,6,12,0.03333333333333333
astar,6,13,0.06666666666666667
astar,6,14,0.03333333333333333
astar,6,15,0.0
astar,6,16,0.0
astar,6,17,0.0
astar,6,18,0.06666666666666667
astar,6,19,0.06666666666666667
astar,7,0,3.9
astar,7,1,6.033333333333333
astar,7,2,3.7
astar,7,3,2.3333333333333335
astar,7,4,1.0333333333333334
astar,7,5,1.1
astar,7,6,1.4333333333333333
astar,7,7,2.2333333333333334
astar,7,8,0.5666666666666667
astar,7,9,0.3
astar,7,10,0.16666666666666666
astar,7,11,0.16666666666666666
astar,7,12,0.0
astar,7,13,0.1
astar,7,14,0.03333333333333333
astar,7,15,0.0
astar,7,16,0.0
astar,7,17,0.0
astar,7,18,0.0
astar,7,19,0.06666666666666667
astar,8,0,2.933333333333333
astar,8,1,4.166666666666667
astar,8,2,3.0
astar,8,3,2.7333333333333334
astar,8,4,1.5333333333333334
astar,8,5,1.4333333333333333
astar,8,6,0.6666666666666666
astar,8,7,0.7
astar,8,8,0.6666666666666666
astar,8,9,0.26666666666666666
astar,8,10,0.03333333333333333
astar,8,11,0.1
astar,8,12,0.06666666666666667
astar,8,13,0.1
astar,8,14,0.0
astar,8,15,0.0
astar,8,16,0.0
astar,8,17,0.0
astar,8,18,0.0
astar,8,19,0.03333333333333333
astar,9,0,2.9
astar,9,1,4.133333333333334
astar,9,2,2.933333333333333
astar,9,3,2.1333333333333333
astar,9,4,1.4
astar,9,5,1.3333333333333333
astar,9,6,0.7333333333333333
astar,9,7,0.7333333333333333
astar,9,8,0.4666666666666667
astar,9,9,0.5333333333333333
astar,9,10,0.5333333333333333
astar,9,11,0.6333333333333333
astar,9,12,0.1
astar,9,13,0.1
astar,9,14,0.0
astar,9,15,0.0
astar,9,16,0.0
astar,9,17,0.0
astar,9,18,0.0
astar,9,19,0.0
astar,10,0,2.3666666666666667
astar,10,1,3.3666666666666667
astar,10,2,2.466666666666667
astar,10,3,2.1333333333333333
astar,10,4,2.5
astar,10,5,1.8333333333333333
astar,10,6,1.1666666666666667
astar,10,7,0.8
astar,10,8,0.5333333333333333
astar,10,9,0.5333333333333333
astar,10,10,1.1
astar,10,11,1.1
astar,10,12,0.03333333333333333
astar,10,13,0.2
astar,10,14,0.1
astar,10,15,0.0
astar,10,16,0.0
astar,10,17,0.7
astar,10,18,0.7333333333333333
astar,10,19,0.06666666666666667
astar,11,0,2.8666666666666667
astar,11,1,4.4
astar,11,2,2.8
astar,11,3,3.2
astar,11,4,3.4
astar,11,5,2.566666666666667
astar,11,6,1.8
astar,11,7,1.2666666666666666
astar,11,8,0.8333333333333334
astar,11,9,1.2333333333333334
astar,11,10,1.6666666666666667
astar,11,11,1.3333333333333333
astar,11,12,0.8333333333333334
astar,11,13,0.8333333333333334
astar,11,14,0.6666666666666666
astar,11,15,0.43333333333333335
astar,11,16,0.7333333333333333
astar,11,17,1.1333333333333333
astar,11,18,1.1666666666666667
astar,11,19,0.7
astar,12,0,3.7333333333333334
astar,12,1,6.166666666666667
astar,12,2,3.433333333333333
astar,12,3,2.6666666666666665
astar,12,4,2.7
astar,12,5,2.4
astar,12,6,0.9333333333333333
astar,12,7,0.9333333333333333
astar,12,8,1.1666666666666667
astar,12,9,1.5666666666666667
astar,12,10,1.0
astar,12,11,0.8
astar,12,12,1.4333333333333333
astar,12,13,0.9333333333333333
astar,12,14,0.8
astar,12,15,0.7666666666666667
astar,12,16,1.0333333333333334
astar,12,17,1.5333333333333334
astar,12,18,1.5666666666666667
astar,12,19,1.2
astar,13,0,4.4
astar,13,1,5.333333333333333
astar,13,2,2.6
astar,13,3,1.7333333333333334
astar,13,4,1.5666666666666667
astar,13,5,1.8666666666666667
astar,13,6,1.2666666666666666
astar,13,7,0.8
astar,13,8,0.5666666666666667
astar,13,9,0.9
astar,13,10,1.2333333333333334
astar,13,11,1.3666666666666667
astar,13,12,1.7666666666666666
astar,13,13,1.1
astar,13,14,0.5333333333333333
astar,13,15,0.6
astar,13,16,1.2666666666666666
astar,13,17,2.033333333333333
astar,13,18,1.0
astar,13,19,1.1666666666666667
astar,14,0,4.866666666666666
astar,14,1,5.333333333333333
astar,14,2,3.6
astar,14,3,2.4
astar,14,4,1.6
astar,14,5,1.4666666666666666
astar,14,6,1.3
astar,14,7,0.9333333333333333
astar,14,8,0.6333333333333333
astar,14,9,0.8
astar,14,10,0.8333333333333334
astar,14,11,1.1666666666666667
astar,14,12,1.3
astar,14,13,1.5
astar,14,14,0.8333333333333334
astar,14,15,0.5
astar,14,16,0.6
astar,14,17,1.3
astar,14,18,1.7
astar,14,19,1.2666666666666666
astar,15,0,6.4
astar,15,1,8.266666666666667
astar,15,2,4.733333333333333
astar,15,3,2.3
astar,15,4,0.9
astar,15,5,0.8666666666666667
astar,15,6,1.4666666666666666
astar,15,7,1.0
astar,15,8,1.3333333333333333
astar,15,9,1.2333333333333334
astar,15,10,1.0
astar,15,11,0.9666666666666667
astar,15,12,0.8333333333333334
astar,15,13,1.6666666666666667
astar,15,14,1.5333333333333334
astar,15,15,1.7666666666666666
astar,15,16,2.1333333333333333
astar,15,17,2.066666666666667
astar,15,18,2.3666666666666667
astar,15,19,1.3333333333333333
astar,16,0,7.8
astar,16,1,8.833333333333334
astar,16,2,6.266666666666667
astar,16,3,3.566666666666667
astar,16,4,2.2
astar,16,5,1.5333333333333334
astar,16,6,1.5666666666666667
astar,16,7,0.6666666666666666
astar,16,8,1.5666666666666667
astar,16,9,1.2333333333333334
astar,16,10,1.2333333333333334
astar,16,11,1.1
astar,16,12,0.8666666666666667
astar,16,13,1.4666666666666666
astar,16,14,1.4333333333333333
astar,16,15,1.6666666666666667
astar,16,16,1.3666666666666667
astar,16,17,1.1666666666666667
astar,16,18,0.9
astar,16,19,0.8
astar,17,0,9.533333333333333
astar,17,1,8.366666666666667
astar,17,2,5.6
astar,17,3,2.966666666666667
astar,17,4,1.6
astar,17,5,1.1666666666666667
astar,17,6,2.0
astar,17,7,1.6333333333333333
astar,17,8,1.4666666666666666
astar,17,9,0.6333333333333333
astar,17,10,1.0666666666666667
astar,17,11,0.7666666666666667
astar,17,12,0.9
astar,17,13,1.7666666666666666
astar,17,14,0.7
astar,17,15,0.4666666666666667
astar,17,16,0.6
astar,17,17,0.8666666666666667
astar,17,18,0.5333333333333333
astar,17,19,0.6333333333333333
astar,18,0,5.766666666666667
astar,18,1,4.033333333333333
astar,18,2,6.466666666666667
astar,18,3,3.533333333333333
astar,18,4,1.3666666666666667
astar,18,5,1.2
astar,18,6,2.5
astar,18,7,1.7666666666666666
astar,18,8,1.6
astar,18,9,1.4333333333333333
astar,18,10,1.2666666666666666
astar,18,11,0.8
astar,18,12,1.0
astar,18,13,1.7
astar,18,14,0.8666666666666667
astar,18,15,0.6333333333333333
astar,18,16,0.36666666666666664
astar,18,17,0.4
astar,18,18,0.13333333333333333
astar,18,19,0.2
astar,19,0,2.6666666666666665
astar,19,1,4.1
astar,19,2,6.433333333333334
astar,19,3,3.2
astar,19,4,2.2333333333333334
astar,19,5,2.3
astar,19,6,1.9666666666666666
astar,19,7,0.8333333333333334
astar,19,8,0.9
astar,19,9,1.2333333333333334
astar,19,10,0.9666666666666667
astar,19,11,0.5333333333333333
astar,19,12,0.5333333333333333
astar,19,13,0.8
astar,19,14,0.6
astar,19,15,0.6333333333333333
astar,19,16,0.43333333333333335
astar,19,17,0.4666666666666667
astar,19,18,0.23333333333333334
astar,19,19,0.16666666666666666
pheromone,0,0,4.433333333333334
pheromone,0,1,6.933333333333334
pheromone,0,2,9.266666666666667
pheromone,0,3,7.9
pheromone,0,4,5.6
pheromone,0,5,5.066666666666666
