strategy,swarm_size,hazard_rate,noise_level,seed,survivors_found,agents_lost,coverage_pct,duplicate_visits,timesteps_run
pheromone,6,medium,0.1,1,8,5,55.00000000000001,452,200
pheromone,6,medium,0.1,2,7,6,41.47058823529412,147,81
pheromone,6,medium,0.1,3,4,6,34.411764705882355,200,96
pheromone,6,medium,0.1,4,8,6,60.588235294117645,116,148
pheromone,6,medium,0.1,5,5,6,45.0,149,196
pheromone,6,medium,0.1,6,4,6,25.0,123,103
pheromone,6,medium,0.1,7,6,5,39.411764705882355,272,200
pheromone,6,medium,0.1,8,5,6,21.764705882352942,50,27
pheromone,6,medium,0.1,9,4,6,30.88235294117647,323,172
pheromone,6,medium,0.1,10,7,6,43.23529411764706,306,181
pheromone,6,medium,0.1,11,2,6,8.235294117647058,32,14
pheromone,6,medium,0.1,12,2,6,15.294117647058824,101,46
pheromone,6,medium,0.1,13,5,6,27.647058823529413,113,80
pheromone,6,medium,0.1,14,4,6,20.294117647058822,94,43
pheromone,6,medium,0.1,15,4,6,27.941176470588236,79,39
pheromone,6,medium,0.1,16,6,6,28.52941176470588,261,144
pheromone,6,medium,0.1,17,5,6,24.705882352941178,230,176
pheromone,6,medium,0.1,18,2,6,38.23529411764706,111,62
pheromone,6,medium,0.1,19,6,6,31.76470588235294,74,109
pheromone,6,medium,0.1,20,3,6,22.35294117647059,72,33
pheromone,6,medium,0.1,21,2,6,20.0,55,29
pheromone,6,medium,0.1,22,3,6,9.705882352941178,39,18
pheromone,6,medium,0.1,23,3,6,22.647058823529413,430,136
pheromone,6,medium,0.1,24,4,6,32.05882352941177,179,110
pheromone,6,medium,0.1,25,6,6,39.705882352941174,270,139
pheromone,6,medium,0.1,26,4,6,21.470588235294116,63,43
pheromone,6,medium,0.1,27,1,6,8.529411764705882,28,30
pheromone,6,medium,0.1,28,8,5,44.41176470588235,226,200
pheromone,6,medium,0.1,29,6,6,17.647058823529413,41,26
pheromone,6,medium,0.2,0,4,6,20.0,153,86
pheromone,6,medium,0.2,1,8,5,52.64705882352941,358,200
pheromone,6,medium,0.2,2,6,6,40.588235294117645,91,88
pheromone,6,medium,0.2,3,4,6,32.35294117647059,113,48
pheromone,6,medium,0.2,4,6,6,40.0,40,45
pheromone,6,medium,0.2,5,5,6,26.47058823529412,83,67
pheromone,6,medium,0.2,6,4,6,24.705882352941178,57,37
pheromone,6,medium,0.2,7,5,6,24.705882352941178,68,61
pheromone,6,medium,0.2,8,7,6,30.0,144,67
pheromone,6,medium,0.2,9,4,6,29.411764705882355,129,61
pheromone,6,medium,0.2,10,7,6,47.94117647058824,84,71
pheromone,6,medium,0.2,11,2,6,8.529411764705882,31,14
pheromone,6,medium,0.2,12,1,6,15.0,51,23
pheromone,6,medium,0.2,13,5,6,25.588235294117645,70,64
pheromone,6,medium,0.2,14,9,6,43.529411764705884,121,119
pheromone,6,medium,0.2,15,4,6,27.941176470588236,79,39
