strategy,swarm_size,hazard_rate,seed,survivors_found,agents_lost,coverage_pct,duplicate_visits,timesteps_run
pheromone,1,slow,9,7,0,30.294117647058822,97,200
pheromone,1,slow,10,5,0,36.17647058823529,77,200
pheromone,1,slow,11,6,0,13.529411764705882,154,200
pheromone,1,slow,12,1,1,10.294117647058822,1,36
pheromone,1,slow,13,5,0,29.117647058823533,101,200
pheromone,1,slow,14,4,0,27.941176470588236,105,200
pheromone,1,slow,15,1,1,14.411764705882351,7,56
pheromone,1,slow,16,6,0,41.76470588235294,58,200
pheromone,1,slow,17,4,1,12.647058823529411,0,43
pheromone,1,slow,18,5,1,38.23529411764706,19,149
pheromone,1,slow,19,5,0,30.58823529411765,96,200
pheromone,1,slow,20,4,1,16.76470588235294,20,84
pheromone,1,slow,21,2,0,17.941176470588236,139,200
pheromone,1,slow,22,6,0,30.0,98,200
pheromone,1,slow,23,4,1,23.52941176470588,15,95
pheromone,1,slow,24,1,1,11.76470588235294,2,42
pheromone,1,slow,25,6,0,35.0,81,200
pheromone,1,slow,26,5,0,34.705882352941174,82,200
pheromone,1,slow,27,2,1,15.294117647058824,11,63
pheromone,1,slow,28,5,0,28.52941176470588,103,200
pheromone,1,slow,29,9,0,39.705882352941174,65,200
pheromone,1,medium,0,2,1,5.588235294117648,1,21
pheromone,1,medium,1,5,0,26.176470588235297,111,200
pheromone,1,medium,2,6,0,25.882352941176475,112,200
pheromone,1,medium,3,1,1,8.235294117647058,4,32
pheromone,1,medium,4,1,0,12.647058823529411,157,200
pheromone,1,medium,5,4,0,35.294117647058826,80,200
pheromone,1,medium,6,1,1,9.411764705882353,2,34
pheromone,1,medium,7,0,1,3.5294117647058822,1,14
pheromone,1,medium,8,1,1,6.176470588235294,6,27
pheromone,1,medium,9,4,0,22.058823529411764,125,200
pheromone,1,medium,10,5,0,39.11764705882353,67,200
pheromone,1,medium,11,4,0,5.88235294117647,180,200
pheromone,1,medium,12,1,0,7.0588235294117645,176,200
pheromone,1,medium,13,5,0,21.764705882352942,126,200
pheromone,1,medium,14,1,0,5.294117647058823,182,200
pheromone,1,medium,15,0,1,7.0588235294117645,0,24
pheromone,1,medium,16,2,1,2.3529411764705883,1,9
pheromone,1,medium,17,5,0,16.76470588235294,143,200
pheromone,1,medium,18,0,0,19.411764705882355,134,200
pheromone,1,medium,19,1,1,0.8823529411764706,0,3
pheromone,1,medium,20,1,1,9.117647058823529,0,31
pheromone,1,medium,21,0,0,10.294117647058822,165,200
pheromone,1,medium,22,1,1,2.941176470588235,0,10
pheromone,1,medium,23,2,0,18.823529411764707,136,200
pheromone,1,medium,24,4,0,25.294117647058822,114,200
pheromone,1,medium,25,5,0,33.52941176470588,86,200
pheromone,1,medium,26,3,0,16.76470588235294,143,200
pheromone,1,medium,27,1,1,6.176470588235294,8,30
pheromone,1,medium,28,8,0,39.411764705882355,66,200
pheromone,1,medium,29,0,1,2.0588235294117645,11,19
pheromone,1,fast,0,2,1,3.2352941176470593,0,11
pheromone,1,fast,1,5,0,24.705882352941178,116,200
pheromone,1,fast,2,6,0,24.41176470588235,117,200
pheromone,1,fast,3,3,0,24.705882352941178,116,200
pheromone,1,fast,4,0,1,5.294117647058823,0,18
pheromone,1,fast,5,0,1,3.823529411764706,1,14
pheromone,1,fast,6,0,1,4.117647058823529,0,14
pheromone,1,fast,7,0,0,3.5294117647058822,188,200
pheromone,1,fast,8,0,1,4.117647058823529,2,16
pheromone,1,fast,9,4,0,21.470588235294116,127,200
pheromone,1,fast,10,3,1,5.588235294117648,4,23
pheromone,1,fast,11,3,0,5.588235294117648,181,200
pheromone,1,fast,12,1,0,7.0588235294117645,176,200
pheromone,1,fast,13,6,0,21.176470588235293,128,200
pheromone,1,fast,14,1,1,3.5294117647058822,0,12
pheromone,1,fast,15,0,1,3.823529411764706,0,13
pheromone,1,fast,16,2,1,2.3529411764705883,4,12
pheromone,1,fast,17,4,0,18.823529411764707,136,200
pheromone,1,fast,18,1,0,25.294117647058822,114,200
pheromone,1,fast,19,1,1,1.4705882352941175,2,7
pheromone,1,fast,20,2,0,14.411764705882351,151,200
pheromone,1,fast,21,2,0,12.941176470588237,156,200
pheromone,1,fast,22,1,1,2.3529411764705883,0,8
pheromone,1,fast,23,1,0,17.647058823529413,140,200
pheromone,1,fast,24,4,0,22.941176470588236,122,200
pheromone,1,fast,25,5,0,35.294117647058826,80,200
pheromone,1,fast,26,1,1,2.6470588235294117,1,10
pheromone,1,fast,27,1,1,3.823529411764706,3,16
pheromone,1,fast,28,2,1,5.294117647058823,0,18
pheromone,1,fast,29,0,1,2.0588235294117645,5,12
rl,1,slow,0,5,0,13.529411764705882,2,200
rl,1,slow,1,5,1,8.823529411764707,8,97
rl,1,slow,2,0,0,0.0,0,200
rl,1,slow,3,1,0,7.0588235294117645,6,200
rl,1,slow,4,0,0,1.1764705882352942,0,200
rl,1,slow,5,4,0,15.588235294117647,78,200
rl,1,slow,6,2,0,11.76470588235294,64,200
rl,1,slow,7,0,1,0.0,0,84
rl,1,slow,8,4,1,5.88235294117647,1,87
rl,1,slow,9,6,0,14.705882352941178,2,200
rl,1,slow,10,3,0,6.764705882352941,36,200
rl,1,slow,11,6,0,8.823529411764707,113,200
rl,1,slow,12,1,1,5.588235294117648,0,53
rl,1,slow,13,5,0,8.823529411764707,2,200
rl,1,slow,14,2,0,5.0,1,200
rl,1,slow,15,1,1,6.470588235294119,0,79
rl,1,slow,16,1,1,2.941176470588235,0,57
rl,1,slow,17,4,0,10.882352941176471,99,200
rl,1,slow,18,3,0,9.117647058823529,19,200
rl,1,slow,19,7,0,14.411764705882351,21,200
rl,1,slow,20,0,0,0.0,0,200
rl,1,slow,21,2,0,12.647058823529411,15,200
rl,1,slow,22,4,0,10.588235294117647,104,200
rl,1,slow,23,0,0,0.8823529411764706,0,200
rl,1,slow,24,4,0,13.529411764705882,154,200
rl,1,slow,25,0,0,1.4705882352941175,0,200
rl,1,slow,26,2,1,4.411764705882353,0,87
rl,1,slow,27,6,0,16.470588235294116,4,200
rl,1,slow,28,4,1,5.0,0,138
rl,1,slow,29,2,1,2.6470588235294117,0,44
rl,1,medium,0,2,1,3.2352941176470593,1,23
rl,1,medium,1,5,0,9.117647058823529,1,200
rl,1,medium,2,0,0,0.0,0,200
rl,1,medium,3,2,0,5.294117647058823,0,200
rl,1,medium,4,1,0,2.6470588235294117,0,200
rl,1,medium,5,3,0,9.411764705882353,4,200
rl,1,medium,6,0,1,4.705882352941177,0,16
rl,1,medium,7,0,1,0.0,0,28
rl,1,medium,8,4,0,6.470588235294119,2,200
rl,1,medium,9,4,0,10.882352941176471,163,200
rl,1,medium,10,3,0,8.235294117647058,139,200
rl,1,medium,11,5,0,5.88235294117647,0,200
rl,1,medium,12,1,0,4.117647058823529,186,200
rl,1,medium,13,5,0,7.0588235294117645,0,200
rl,1,medium,14,2,0,5.88235294117647,2,200
rl,1,medium,15,1,0,5.88235294117647,1,200
rl,1,medium,16,2,0,7.352941176470589,172,200
rl,1,medium,17,3,0,5.294117647058823,2,200
rl,1,medium,18,0,0,7.647058823529412,174,200
rl,1,medium,19,1,0,7.647058823529412,169,200
rl,1,medium,20,0,0,0.0,0,200
rl,1,medium,21,2,0,7.0588235294117645,3,200
rl,1,medium,22,3,0,4.411764705882353,0,200
rl,1,medium,23,0,0,0.8823529411764706,0,200
rl,1,medium,24,0,0,5.88235294117647,8,200
rl,1,medium,25,0,0,1.4705882352941175,0,200
rl,1,medium,26,2,1,5.294117647058823,0,20
rl,1,medium,27,1,1,0.8823529411764706,0,5
rl,1,medium,28,4,0,5.0,0,200
rl,1,medium,29,1,1,1.4705882352941175,0,10
rl,1,fast,0,2,1,2.941176470588235,0,15
rl,1,fast,1,6,0,6.764705882352941,177,200
rl,1,fast,2,0,0,0.0,0,200
rl,1,fast,3,1,0,4.411764705882353,0,200
rl,1,fast,4,0,0,1.1764705882352942,0,200
rl,1,fast,5,0,1,3.5294117647058822,2,17
rl,1,fast,6,1,0,4.705882352941177,183,200
rl,1,fast,7,0,0,0.0,0,200
rl,1,fast,8,2,0,2.941176470588235,0,200
rl,1,fast,9,4,0,5.588235294117648,1,200
rl,1,fast,10,2,0,3.2352941176470593,0,200
rl,1,fast,11,1,0,3.823529411764706,187,200
rl,1,fast,12,1,1,3.2352941176470593,0,12
rl,1,fast,13,4,0,3.823529411764706,187,200
rl,1,fast,14,0,1,2.0588235294117645,1,10
rl,1,fast,15,1,0,3.2352941176470593,1,200
rl,1,fast,16,0,1,2.0588235294117645,1,11
rl,1,fast,17,4,0,7.941176470588235,1,200
rl,1,fast,18,0,0,6.764705882352941,0,200
rl,1,fast,19,0,1,1.7647058823529411,0,10
rl,1,fast,20,0,0,0.0,0,200
rl,1,fast,21,0,1,2.6470588235294117,1,13
rl,1,fast,22,1,0,2.3529411764705883,4,200
rl,1,fast,23,0,0,0.8823529411764706,0,200
rl,1,fast,24,0,0,4.117647058823529,186,200
rl,1,fast,25,0,0,1.4705882352941175,0,200
rl,1,fast,26,1,0,4.411764705882353,1,200
rl,1,fast,27,2,1,5.294117647058823,0,20
rl,1,fast,28,4,1,5.0,0,24
rl,1,fast,29,1,1,1.4705882352941175,0,8
